"Member","Name","Image","Staked (ROAR)","Voting power"
"terra1at236lyq0zn9qda8yefv9v3m75tu4a4exyzm4q","","","11805504.266635","0.005318368047210201"
"terra1c5sln6rzmqzrptf7f837e98eemje6dfge8dc89","","","11344490.874847","0.005110681968170719"
"terra1e3r0eezgjsfkk0pwlyhr4rlaz5n8yfp8qpnqgp","","","11189227.062984","0.005040735773815092"
"terra1hk06zwvj37yeyj4j0ucjmthtv2zzvrptf0v384","","","10877325.269805","0.00490022432311841"
"terra1tjfa9e5fhn8ehmls2ecrnj3a9c4hmw5h8szy33","","","10863761.750087","0.004894113970841482"
"terra1dpkplyx8y5759g4zr2crhtz9rauqnc4xt2j5d3","","","10836630.708326","0.004881891463244154"
"terra1cyq6n7l3y7lzplv6jnl38julzeyg3rv9cvvyra","","","10803134.755904","0.004866801569661589"
"terra127n2htgecsqeq93yv0f5tnsxq2c78k5x30erft","","","10523606.32954","0.004740874288836931"
"terra1mujx82t28as537835qm22a0s0zszmafm2l8y9r","","","10509472.234071","0.004734506892746025"
"terra1sg7agks2mvxp20ld29fvkjq74588twc2uqvt24","","","10500000","0.004730239660624371"
"terra10355nemgu8xydzhwsm2ace8h97z3ec30zdhwgc","","","10398239.192508","0.004684396517053341"
"terra1cj5pnl4kjm7qvfycmtnceqnge05ypvypmzm8n5","","/placeholders/4.svg","10000000","0.004504990152975592"
"terra1ed2qqlv6jjhjr3n0yfs6nvjstl2p06pu2s8zse","","","10000000","0.004504990152975592"
"terra1mu2aut0qekq4j05vv4v3gyfn7w99aweyk4ntvn","","/placeholders/2.svg","10000000","0.004504990152975592"
"terra1pakur5vvckkceh8fmep5nxkvwsngyz7kngrha4","","/placeholders/5.svg","10000000","0.004504990152975592"
"terra1ydu9s5aa86w2p22d9y6r2way2tga5rja69p4cr","","","10000000","0.004504990152975592"
"terra1ztpkl6s0gd6unvqkc7l27tcp65s466vjzmyvp4","","","10000000","0.004504990152975592"
"terra1xmktwcwcyt90h36ev0grjrflh0d5reuxmnay94","","/placeholders/1.svg","9865118.907576","0.004444226353656321"
"terra1zztegfq6cne8ytfnrp4dvmtv9ch66lekaw23ad","","","9364083.141102","0.004218510234230926"
"terra1jctdpqdfkgmffd030xjf2wu7l8vke2ygjmyjz3","","","9009079.874642","0.004058581612263279"
"terra17d4k29qat2vgy9vcnnel4ucztda5z2r32vuc5a","","","7672630.048458","0.003456512281572793"
"terra12826kkk0av98n8sxly079ht7aeh286s5f7h0q3","","","7585263.554321","0.003417153761994074"
"terra1av0cn439l964h5mau09q9qmpe0k6zqymd03l3j","","","7503138.774937","0.003380156629750053"
"terra1d789t3s07jev7vnthtas0rcrjrp0dyqn72kxdj","","","7374926.294861","0.003322397033726957"
"terra1s003pr5eqkfkveumvryk9dwtdxuyg4mc9zua6g","","/placeholders/2.svg","6909262.111974","0.003112615777877021"
"terra1kw4xe0sjlungq7pm7h7780gmm0wd46kzvd2w9s","","","6252819.513307","0.002816889033578167"
"terra1l7d3xx3jkrslxghma3mfymqr06eg4wlu3mhvqk","","/placeholders/3.svg","6237680.286595","0.002810068826852044"
"terra1x9gkhwk35der5wp00rfpakurwtexqg7w725s9m","","","6090711.246678","0.002743859419090208"
"terra17lapk5p993ugazmv2uuc2wdrn3qveqlh7hklpj","","","5714940.006698","0.002574574845502075"
"terra143kcg4pnlsrpmtjmkkz9kxymxwh6xew4q5gz96","","","5453394.544112","0.002456748872151538"
"terra1q9m3lg0xjndvn6hv8apa572adreexejdw7pdwl","","","5005700.965302","0.002255063355742592"
"terra1ujhc3qc0q2ej0mrjlgypdk46gsw2xr8glv3g9q","","","5000423.797245","0.002252685996729354"
"terra1aysya94w8fsw4k2hqj7j3dglsqlrpxa3v4zygr","","","5000000","0.002252495076487796"
"terra15rku203wqn9ru4p54k5p78j6tk6tmqkjwwpae4","","","4938485.67551","0.002224782933878356"
"terra1yx60pl292synwydj6cf6p3hrf57npz6pwhd72x","","","4766941.110516","0.002147502276268911"
"terra124znjuweqm26jkg4z35kx8kjgcfa30gawm09uz","","","4692423.061125","0.002113931968396371"
"terra1nlzaeaa2k6eyvpjsg95w2343hhrczl65qvwpnf","","","4632321.660063","0.002086856346399936"
"terra1jh876grj729q8tuxadefudklv66sq079myycyh","","","4328369.629605","0.001949926255980913"
"terra1w67l00u5585z2fz6s5euwls8a2zm5ptxznl2du","","","4042639.682764","0.001821205196288019"
"terra1jwn7pfaxe005lfgh4mc6xahc8s86xp38ht4zum","","","2749000","0.00123842179305299"
"terra1kmzxj2sx90vqfdjl0fhn2m2jzudh5h74r9hfzp","","","2663477.72348","0.001199894091694725"
"terra1zaq3ghh7fmggw8sjsfscmhha7rnrq5cndsmwpp","","","2658541.91974","0.001197670516970153"
"terra18lzelvk79m8n9sk5d6uuxts5xqe3xs70u8e6v5","","","2645590.464133","0.001191835898972529"
"terra14698rl89hk8h2k23u99dgflw4tsxha8prm4stg","","","2608745.298667","0.00117523718821162"
"terra1j39k0ahnmr6c0e9fxyanhqwq4sw83uuepjjhvl","","","2586868.732711","0.00116538181679035"
"terra1xcnxtqngujxgpnnjt2ms339sq3algtmelgd5ku","","","2500000","0.001126247538243898"
"terra128qmeave7hlnjj5uxd46jce65wrumkhf0j8ew9","","","2499418.925355","0.001125985764688511"
"terra1apcvfccryplzwgh5763l2mnkrsyap0muqmhxwy","","","2083115.651685","0.000938441549835026"
"terra1k7wrmppe2dl5jerlpu3nlucqgudk8s3ngx48py","","","2034606.085373","0.000916588037978958"
"terra1u9fhd3tqmlyhca5ea2cjn8ght6q7nn8f2g7nsq","","","2019466.78313","0.000909767797226194"
"terra1k9xzzd092760hnqwyytkesj7c8498r63gt2p2x","","","1667630.928768","0.000751266091289738"
"terra1wq35u0ndsuwtt6dh9f7n97fh4ykpcgy2k62umk","","","1544116.265351","0.00069562285704557"
"terra1s2r66jvjxczsc7flfv5j5x7qrw5w3us0pmesdv","","/placeholders/1.svg","1332552.966872","0.000600313799407677"
"terra186twgvqlv4wgha37gs922pst7mf9mlt4958hmu","","","1260486.536266","0.000567847943383664"
"terra1zfge7des3j03sj4fekxu8r37lpkmces2457r6v","","","1235278.039215","0.000556491540285057"
"terra168zqjwh3wwe8ktg64uz4yzepn3d9pct6kgqdqm","","","1132835.334827","0.000510341202833844"
"terra14vwq8zpr7sh9ajahr0gyhj6at6ha6rmdpecysm","","","1102715.626295","0.000496772303799129"
"terra130hnn9qh9naezd8q9p5cext6qse35ktxpqe07d","","","1000000","0.000450499015297559"
"terra1f0z9sm9dz37h9z69yl5smcp6sd5jphv6zynre6","","","1000000","0.000450499015297559"
"terra1fsxuvu22sd4y28zvdrxnf0jekmcfutn8uw5kpv","","","1000000","0.000450499015297559"
"terra1jv2qj2qx0qndrs0qgxq8thq45z0w2uc733pwcq","","","1000000","0.000450499015297559"
"terra1mqmqc7vmjpslgeju4m0pwwt94gutllnur775kv","","","995098.813276","0.000448291035504608"
"terra1g692jde5e7nqpml4rmxgge22m3qvft8ufctpes","","","975956.961334","0.000439667650053765"
"terra1jx9tsunsg8vy0p5cavl6n6rkul4cv7x8e8qye4","","/placeholders/1.svg","907495.880564","0.000408826000580673"
"terra1kkvmg6l545fjl67f44hx9ytyjurx4s2r9z8att","","","841944.507009","0.000379295171342743"
"terra109s6jzmrr5mw8edsfkkvlq8yxm5p34emxs6v46","","","766532","0.000345321911194069"
"terra1hc8s7rqzguks55q4zw4u5lz9wge4punuqc4uxd","","","695627.504464","0.00031337950577493"
"terra1myh3pl3aa8yqclgxtzzd3f9ac8p9ygw7huhyfe","","","687716.822234","0.000309815751219984"
"terra1pnnk4mhstjje4qryxd4glkrvya42vjzphf0dd3","","","638796.794245","0.00028777732678261"
"terra1l4mpnxhvrca26ge5mt4le7uh8yvcknv4ar42lq","","","591505.12792","0.000266472477671417"
